Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,gelu_derivative,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,43.65947723388672,3377411,3.036358133452549,N/A,3.0327538059967676,3.0321022108354594,N/A,3.0321022108354594
1,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,2,2,r,2,Bfp8_b,1,1,1,2,4,2,2,r,2,0,127,43.54519271850586,3386275,1.6305625183847798,N/A,1.6285797939062499,1.6283967013901706,N/A,1.6283967013901706
2,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,2,2,r,2,Bfp8_b,1,1,1,2,7,2,2,r,2,0,127,43.56884002685547,5922765,1.6304916410229338,N/A,1.6294075207491032,1.6292809726538195,N/A,1.6292809726538195
3,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,7,2,2,r,2,Bfp8_b,1,1,1,7,7,2,2,r,2,0,127,43.59697341918945,20716301,1.6306823009498952,N/A,1.6303881971176173,1.6303329981544485,N/A,1.6303329981544485
4,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,2,2,r,2,Bfp8_b,1,1,1,4,7,2,2,r,2,0,127,43.59148025512695,11839377,1.6307381069679885,N/A,1.6301783549966344,1.6301277204028555,N/A,1.6301277204028555
5,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,2,2,r,2,Bfp8_b,1,1,1,4,4,2,2,r,2,0,127,43.577796936035156,6767483,1.6306811007557718,N/A,1.6297084089004386,1.6296159266303292,N/A,1.6296159266303292
6,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,2,2,2,r,2,Bfp8_b,1,1,1,4,2,2,2,r,2,0,127,43.54431915283203,3386343,1.6305042055123609,N/A,1.6285657354982377,1.6283640021108314,N/A,1.6283640021108314
7,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,2,2,r,2,Bfp8_b,1,1,1,7,4,2,2,r,2,0,127,43.59109878540039,11839481,1.6307318576150114,N/A,1.6301698894775993,1.63011340108574,N/A,1.63011340108574
8,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,2,2,2,r,2,Bfp8_b,1,1,1,2,2,2,2,r,2,0,127,43.48074722290039,1695647,1.6302539934540965,N/A,1.6264186216856238,1.6259867295492516,N/A,1.6259867295492516
9,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,2,2,2,r,2,Bfp8_b,1,1,1,7,2,2,2,r,2,0,127,43.57317352294922,5922176,1.6306699221730503,N/A,1.6295453490232388,1.6294430155402337,N/A,1.6294430155402337
