input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,1,1,3977
Bfp8_b,LoFi,1,2,2,1,2,7712
Bfp8_b,LoFi,1,2,2,1,4,15085
Bfp8_b,LoFi,1,2,2,1,8,29798
Bfp8_b,LoFi,1,2,2,2,1,7716
Bfp8_b,LoFi,1,2,2,2,2,15088
Bfp8_b,LoFi,1,2,2,2,4,29828
Bfp8_b,LoFi,1,2,2,4,1,15100
Bfp8_b,LoFi,1,2,2,4,2,29801
Bfp8_b,LoFi,1,2,2,8,1,29827
Bfp8_b,LoFi,1,2,4,1,1,7705
Bfp8_b,LoFi,1,2,4,1,2,15133
Bfp8_b,LoFi,1,2,4,1,4,29763
Bfp8_b,LoFi,1,2,4,1,8,59014
Bfp8_b,LoFi,1,2,4,2,1,15138
Bfp8_b,LoFi,1,2,4,2,2,29771
Bfp8_b,LoFi,1,2,4,2,4,59026
Bfp8_b,LoFi,1,2,4,4,1,29785
Bfp8_b,LoFi,1,2,4,4,2,59070
Bfp8_b,LoFi,1,2,4,8,1,59017
Bfp8_b,LoFi,1,2,8,1,1,15194
Bfp8_b,LoFi,1,2,8,1,2,29956
Bfp8_b,LoFi,1,2,8,1,4,59186
Bfp8_b,LoFi,1,2,8,1,8,117486
Bfp8_b,LoFi,1,2,8,2,1,29971
Bfp8_b,LoFi,1,2,8,2,2,59174
Bfp8_b,LoFi,1,2,8,2,4,117539
Bfp8_b,LoFi,1,2,8,4,1,59144
Bfp8_b,LoFi,1,2,8,4,2,117484
Bfp8_b,LoFi,1,2,8,8,1,117486
Bfp8_b,LoFi,1,4,2,1,1,7696
Bfp8_b,LoFi,1,4,2,1,2,15121
Bfp8_b,LoFi,1,4,2,1,4,29777
Bfp8_b,LoFi,1,4,2,1,8,59016
Bfp8_b,LoFi,1,4,2,2,1,15110
Bfp8_b,LoFi,1,4,2,2,2,29772
Bfp8_b,LoFi,1,4,2,2,4,59037
Bfp8_b,LoFi,1,4,2,4,1,29779
Bfp8_b,LoFi,1,4,2,4,2,59067
Bfp8_b,LoFi,1,4,2,8,1,59015
Bfp8_b,LoFi,1,4,4,1,1,15214
Bfp8_b,LoFi,1,4,4,1,2,29963
Bfp8_b,LoFi,1,4,4,1,4,59164
Bfp8_b,LoFi,1,4,4,1,8,117525
Bfp8_b,LoFi,1,4,4,2,1,29928
Bfp8_b,LoFi,1,4,4,2,2,59129
Bfp8_b,LoFi,1,4,4,2,4,117506
Bfp8_b,LoFi,1,4,4,4,1,59138
Bfp8_b,LoFi,1,4,4,4,2,117499
Bfp8_b,LoFi,1,4,4,8,1,117461
Bfp8_b,LoFi,1,4,8,1,1,30166
Bfp8_b,LoFi,1,4,8,1,2,59616
Bfp8_b,LoFi,1,4,8,1,4,117926
Bfp8_b,LoFi,1,4,8,2,1,59602
Bfp8_b,LoFi,1,4,8,2,2,117915
Bfp8_b,LoFi,1,4,8,4,1,117891
Bfp8_b,LoFi,1,8,2,1,1,15205
Bfp8_b,LoFi,1,8,2,1,2,29925
Bfp8_b,LoFi,1,8,2,1,4,59115
Bfp8_b,LoFi,1,8,2,1,8,117497
Bfp8_b,LoFi,1,8,2,2,1,29922
Bfp8_b,LoFi,1,8,2,2,2,59154
Bfp8_b,LoFi,1,8,2,2,4,117452
Bfp8_b,LoFi,1,8,2,4,1,59134
Bfp8_b,LoFi,1,8,2,4,2,117509
Bfp8_b,LoFi,1,8,2,8,1,117520
Bfp8_b,LoFi,1,8,4,1,1,30185
Bfp8_b,LoFi,1,8,4,1,2,59601
Bfp8_b,LoFi,1,8,4,1,4,117872
Bfp8_b,LoFi,1,8,4,2,1,59586
Bfp8_b,LoFi,1,8,4,2,2,117914
Bfp8_b,LoFi,1,8,4,4,1,117893
Bfp8_b,LoFi,1,8,8,1,1,60113
Bfp8_b,LoFi,1,8,8,1,2,118899
Bfp8_b,LoFi,1,8,8,2,1,118876
Bfp8_b,LoFi,1,2,2,1,1,3958
Bfp8_b,LoFi,1,2,2,1,2,7712
Bfp8_b,LoFi,1,2,2,1,4,15098
Bfp8_b,LoFi,1,2,2,1,8,29826
Bfp8_b,LoFi,1,2,2,2,1,7716
Bfp8_b,LoFi,1,2,2,2,2,15070
Bfp8_b,LoFi,1,2,2,2,4,29794
Bfp8_b,LoFi,1,2,2,4,1,15106
Bfp8_b,LoFi,1,2,2,4,2,29788
Bfp8_b,LoFi,1,2,2,8,1,29787
Bfp8_b,LoFi,1,2,4,1,1,7707
Bfp8_b,LoFi,1,2,4,1,2,15107
Bfp8_b,LoFi,1,2,4,1,4,29773
Bfp8_b,LoFi,1,2,4,1,8,59030
Bfp8_b,LoFi,1,2,4,2,1,15118
Bfp8_b,LoFi,1,2,4,2,2,29750
Bfp8_b,LoFi,1,2,4,2,4,59025
Bfp8_b,LoFi,1,2,4,4,1,29745
Bfp8_b,LoFi,1,2,4,4,2,59035
Bfp8_b,LoFi,1,2,4,8,1,59038
Bfp8_b,LoFi,1,2,8,1,1,15192
