input0_df,input1_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,m_k,u_kt,math_utilization,runtime,tile_runtime
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,2,68.90592956542969,12445,777
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,8,85.20862579345703,38906,2431
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,4,79.5396957397461,21081,1317
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,1,54.9718017578125,8149,509
Float16_b,Float16_b,HiFi4,1,2,2,2,2,16,2,65.0738525390625,53305,3331
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,2,74.66061401367188,5657,353
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,2,66.28348541259766,26069,1629
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,2,91.67060089111328,2234,139
Float16_b,Float16_b,HiFi4,1,2,2,2,2,16,1,51.25687789916992,35710,2231
Float16_b,Float16_b,HiFi4,1,2,2,2,2,32,1,50.72177505493164,72426,4526
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,4,77.60771179199219,43377,2711
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,8,87.4911117553711,18872,1179
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,16,89.18338012695312,36885,2305
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,1,60.438148498535156,3600,225
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,4,83.44910430908203,9970,623
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,1,52.42121887207031,17336,1083
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,8,93.21238708496094,8788,549
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,16,92.29878234863281,17751,1109
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,4,93.82794189453125,4365,272
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,1,65.35757446289062,1566,97
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,2,74.41035461425781,23050,720
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,4,82.8387222290039,40483,1265
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,1,62.2202262878418,14400,450
Float16_b,Float16_b,HiFi4,1,2,2,2,4,16,1,58.13273620605469,62973,1967
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,16,93.23897552490234,35144,1098
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,8,94.0927734375,17412,544
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,4,94.27520751953125,8689,271
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,2,94.09635925292969,4352,136
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,1,72.86190032958984,2810,87
Float16_b,Float16_b,HiFi4,1,2,2,2,4,8,1,59.42328643798828,30587,955
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,1,69.07714080810547,6300,196
Float16_b,Float16_b,HiFi4,1,2,2,2,4,8,2,72.02301025390625,47984,1499
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,4,86.1685791015625,19310,603
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,8,89.63543701171875,36842,1151
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,2,79.64205932617188,10607,331
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,16,85.410400390625,38365,1198
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,2,74.31881713867188,23078,721
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,4,80.48677062988281,41666,1302
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,1,62.07521438598633,14434,451
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,2,79.73772430419922,10594,331
Float16_b,Float16_b,HiFi4,1,2,2,4,2,8,2,71.95527648925781,48029,1500
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,2,93.9971694946289,4357,136
Float16_b,Float16_b,HiFi4,1,2,2,4,2,16,1,57.84566879272461,63285,1977
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,8,85.39034271240234,38674,1208
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,1,68.69906616210938,6334,197
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,4,83.9037094116211,19832,619
Float16_b,Float16_b,HiFi4,1,2,2,4,2,8,1,59.18662643432617,30709,959
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,1,72.74261474609375,2815,87
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,8,89.38634490966797,18329,572
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,4,91.51922607421875,8951,279
Float16_b,Float16_b,HiFi4,1,2,4,2,2,4,2,69.36556243896484,24726,772
Float16_b,Float16_b,HiFi4,1,2,4,2,2,4,4,79.87953186035156,41983,1311
Float16_b,Float16_b,HiFi4,1,2,4,2,2,4,1,55.993492126464844,16001,500
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,2,75.20818328857422,11232,351
Float16_b,Float16_b,HiFi4,1,2,4,2,2,8,2,66.74734497070312,51777,1618
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,2,92.7409896850586,4416,138
Float16_b,Float16_b,HiFi4,1,2,4,2,2,16,1,51.95623016357422,70459,2201
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,4,83.81192779541016,19853,620
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,8,88.00322723388672,37525,1172
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,8,93.66312408447266,17492,546
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,16,92.93235778808594,35260,1101
Float16_b,Float16_b,HiFi4,1,2,4,2,2,8,1,53.203575134277344,34163,1067
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,1,62.45295333862305,6968,217
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,1,69.07123565673828,2965,92
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,4,93.88809204101562,8725,272
Float16_b,Float16_b,HiFi4,1,2,4,2,4,4,2,74.53012084960938,46027,719
Float16_b,Float16_b,HiFi4,1,2,4,2,4,4,1,62.48918914794922,28676,448
Float16_b,Float16_b,HiFi4,1,2,4,2,4,2,4,85.82040405273438,38778,605
Float16_b,Float16_b,HiFi4,1,2,4,2,4,1,8,93.1264419555664,35186,549
Float16_b,Float16_b,HiFi4,1,2,4,2,4,1,4,93.8012924194336,17466,272
Float16_b,Float16_b,HiFi4,1,2,4,2,4,1,2,94.14401245117188,8701,135
Float16_b,Float16_b,HiFi4,1,2,4,2,4,1,1,74.08598327636719,5528,86
Float16_b,Float16_b,HiFi4,1,2,4,2,4,8,1,59.60608673095703,60987,952
Float16_b,Float16_b,HiFi4,1,2,4,2,4,2,1,69.20702362060547,12576,196
Float16_b,Float16_b,HiFi4,1,2,4,2,4,2,2,79.61004638671875,21223,331
Float16_b,Float16_b,HiFi4,1,2,4,4,2,4,2,74.70952606201172,45916,717
Float16_b,Float16_b,HiFi4,1,2,4,4,2,4,4,82.19930267333984,81596,1274
Float16_b,Float16_b,HiFi4,1,2,4,4,2,4,1,62.396018981933594,28719,448
Float16_b,Float16_b,HiFi4,1,2,4,4,2,2,2,80.09276580810547,21095,329
Float16_b,Float16_b,HiFi4,1,2,4,4,2,8,2,72.35707092285156,95526,1492
Float16_b,Float16_b,HiFi4,1,2,4,4,2,1,2,94.09585571289062,8706,136
Float16_b,Float16_b,HiFi4,1,2,4,4,2,16,1,58.19198989868164,125818,1965
Float16_b,Float16_b,HiFi4,1,2,4,4,2,1,4,93.2712173461914,17565,274
Float16_b,Float16_b,HiFi4,1,2,4,4,2,2,4,85.50479125976562,38921,608
