Test-ID,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,mblock_k,ublock_kt,l1_acc,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,HiFi4,Int8,1,1,1,4,16,2,1,r,2,Int8,1,1,1,16,4,1,2,r,2,Int32,1,1,1,4,4,2,2,r,2,16,1,False,0,127,24.89496612548828,33695999,0.5134595802216585,0.5134595802216585,1.0035732445745091,0.5134587046966614,0.5134587046966614,1.0035783773616564
1,HiFi4,Int8,1,1,1,2,1,2,1,r,2,Int8,1,1,1,1,2,1,2,r,2,Int32,1,1,1,2,2,2,2,r,2,1,1,False,0,127,30.95094871520996,423483,1.290137010680436,1.290137010680436,19.93297767427492,1.2767265746204688,1.2767265746204688,19.963360984974603
2,HiFi4,Int8,1,1,1,4,32,2,1,r,2,Int8,1,1,1,32,4,1,2,r,2,Int32,1,1,1,4,4,2,2,r,2,32,1,False,0,127,24.437313079833984,68654093,0.5040173353201981,0.5040173353201981,0.4925584116253494,0.504019592830394,0.504019592830394,0.4925646020842486
4,HiFi4,Int8,1,1,1,2,16,2,1,r,2,Int8,1,1,1,16,8,1,2,r,2,Int32,1,1,1,2,8,2,2,r,2,16,1,False,0,127,24.919851303100586,33662351,0.25698928765179413,1.0279571506071765,1.0045790880656849,0.25698597225131425,1.027943889005257,1.0045815278915011
5,HiFi4,Int8,1,1,1,2,16,2,1,r,2,Int8,1,1,1,16,2,1,2,r,2,Int32,1,1,1,2,2,2,2,r,2,16,1,False,0,127,24.636632919311523,8512332,1.0163001501982416,1.0163001501982416,0.9931597320725354,1.0162611138757276,1.0162611138757276,0.9931642703785519
6,HiFi4,Int8,1,1,1,2,16,2,1,r,2,Int8,1,1,1,16,4,1,2,r,2,Int32,1,1,1,2,4,2,2,r,2,16,1,False,0,127,24.816875457763672,16901016,0.511860188033822,1.023720376067644,1.000434375333206,0.5118480451116075,1.023696090223215,1.0004302699908691
7,HiFi4,Int8,1,1,1,4,16,2,1,r,2,Int8,1,1,1,16,2,1,2,r,2,Int32,1,1,1,4,2,2,2,r,2,16,1,False,0,127,24.714536666870117,16971000,1.0194838398404775,0.5097419199202388,0.9962920377900125,1.019474633197808,0.509737316598904,0.9963047551705851
8,HiFi4,Int8,1,1,1,8,16,2,1,r,2,Int8,1,1,1,16,2,1,2,r,2,Int32,1,1,1,8,2,2,2,r,2,16,1,False,0,127,24.755582809448242,33885721,1.0211472262811954,0.25528680657029884,0.9979326564965469,1.0211678246421259,0.25529195616053146,0.9979594649911684
9,HiFi4,Int8,1,1,1,4,16,2,2,r,2,Int8,1,1,1,16,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,16,2,False,0,127,39.459808349609375,21258612,1.6277366355467453,0.8138683177733727,0.795365427971254,1.6277171811593343,0.8138585905796671,0.7953618044301293
10,HiFi4,Int8,1,1,1,4,16,2,2,r,2,Int8,1,1,1,16,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,16,2,False,0,127,39.612762451171875,42353056,0.8170185740534953,0.8170185740534953,0.7984454479314081,0.8170132516529622,0.8170132516529622,0.7984447686608495
