Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1189,nop,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,2.825139284133911,144984,7.407220469681038,N/A,7.357858600207511,7.34536224686862,N/A,7.34536224686862
2048,nop,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,5.332083702087402,153636,13.932856879137107,N/A,13.886530601516606,13.863417428206931,N/A,13.863417428206931
2179,nop,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,7.787257194519043,210395,20.283431313737253,N/A,20.25514458512647,20.2468689845291,N/A,20.2468689845291
1519,nop,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,5.517222881317139,593922,14.309810706220523,N/A,14.321302232282024,14.344779280780978,N/A,14.344779280780978
1083,nop,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,4.875580787658691,168021,12.724699988559523,N/A,12.689857265526953,12.676510674260955,N/A,12.676510674260955
2033,nop,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,7.640543460845947,214435,19.927955792769176,N/A,19.87276719594134,19.865413761745984,N/A,19.865413761745984
2154,nop,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,5.523202419281006,593279,14.325622383784975,N/A,14.337212280335757,14.360326254595224,N/A,14.360326254595224
1203,nop,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,7.339285373687744,223237,19.0713750688121,N/A,19.080242872943142,19.082141401291004,N/A,19.082141401291004
1529,nop,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,5.508930683135986,594816,14.28973277074543,N/A,14.300756560694033,14.323219281256724,N/A,14.323219281256724
568,nop,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,5.497580528259277,596044,14.259408579477403,N/A,14.277375418873635,14.29370986034588,N/A,14.29370986034588
