Test-ID,Unary-Type,Vector-Mode,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,nop,rc,HiFi4,Int32,1,1,1,4,4,1,1,r,2,Int32,1,1,1,4,4,1,1,r,2,0,127,0.0,687606,12.301732166138946,N/A,12.29954954954955,12.295041055488172,N/A,12.295041055488172
1,nop,rc,HiFi4,Int32,1,1,1,2,2,1,1,r,2,Int32,1,1,1,2,2,1,1,r,2,0,127,0.0,195892,10.809624940720427,N/A,10.793712232733862,10.789292058889592,N/A,10.789292058889592
2,nop,rc,HiFi4,Int32,1,1,1,2,4,2,1,r,2,Int32,1,1,1,2,4,2,1,r,2,0,127,0.0,604331,13.961056620857127,N/A,13.988016602658494,13.989260852082717,N/A,13.989260852082717
3,nop,rc,HiFi4,Int32,1,1,1,2,4,4,1,r,2,Int32,1,1,1,2,4,4,1,r,2,0,127,0.0,1191563,14.170601069540398,N/A,14.185626985529575,14.190007578281636,N/A,14.190007578281636
4,nop,rc,HiFi4,Int32,1,1,1,2,4,1,1,r,2,Int32,1,1,1,2,4,1,1,r,2,0,127,0.0,351629,12.035503467987477,N/A,12.028289386891208,12.021397552534063,N/A,12.021397552534063
5,nop,rc,HiFi4,Int32,1,1,1,2,2,4,1,r,2,Int32,1,1,1,2,2,4,1,r,2,0,127,0.0,604201,13.976479527057874,N/A,13.988389836020191,13.99227078406027,N/A,13.99227078406027
6,nop,rc,HiFi4,Int32,1,1,1,2,2,2,1,r,2,Int32,1,1,1,2,2,2,1,r,2,0,127,0.0,294200,14.346620509890982,N/A,14.344952132735463,14.368021753908906,N/A,14.368021753908906
7,nop,rc,HiFi4,Int32,1,1,1,4,2,4,1,r,2,Int32,1,1,1,4,2,4,1,r,2,0,127,0.0,1195859,14.11954342618886,N/A,14.136033327491136,14.139031440997643,N/A,14.139031440997643
8,nop,rc,HiFi4,Int32,1,1,1,4,2,1,1,r,2,Int32,1,1,1,4,2,1,1,r,2,0,127,0.0,336191,12.591108869515095,N/A,12.584497300995286,12.573424035741587,N/A,12.573424035741587
9,nop,rc,HiFi4,Int32,1,1,1,4,2,2,1,r,2,Int32,1,1,1,4,2,2,1,r,2,0,127,0.0,602246,14.021242239762504,N/A,14.032289957190965,14.037692238719726,N/A,14.037692238719726
